Segment,Month of Order Date,Dynamic Measures
Consumer,January,23211.841
Consumer,February,5589.077
Consumer,March,35041.522
Consumer,April,9034.924
Consumer,May,21059.7374
Consumer,June,20273.1177
Consumer,July,18991.373
Consumer,August,31629.144
Consumer,September,43857.203
Consumer,October,23194.2402
Consumer,November,49790.0648
Consumer,December,50232.4558
Corporate,January,12221.232
Corporate,February,7959.258
Corporate,March,16574.6228
Corporate,April,14803.0146
Corporate,May,14239.8348
Corporate,June,19695.04
Corporate,July,16525.599
Corporate,August,25678.444
Corporate,September,24105.103
Corporate,October,24877.168
Corporate,November,44644.0762
Corporate,December,20524.432
Home Office,January,8538.301
Home Office,February,6752.7984
Home Office,March,7256.208
Home Office,April,12683.5975
Home Office,May,8961.538
Home Office,June,13013.568
Home Office,July,9747.444
Home Office,August,5813.3
Home Office,September,19904.346
Home Office,October,29705.515
Home Office,November,24013.684
Home Office,December,13072.431
